brand,current_price,old_price,discount,description,ratings,times_reviewed,rom,ram,battery,camera,sim port,screen_dim,android_ver
Fero,39500,0,0,"Royale Y2 LITE 5.5-Inch (2GB, 16GB ROM) Android 7.0 Nougat, 13MP + 13MP Dual SIM 3G Smartphone - Gold",4.5,2,16.0,2.0,4000.0,13.0,Dual SIM,5.5,7.0
Tecno,61990,65000,-5,"Pouvoir 3 Plus, 6.35"" Amoled (64GB ROM+ 4GB RAM) , (13MP + 8MP + 2MP)+13MP FF, 6000mAh, 4G LTE,  - Midnight Black.",4.0,3,64.0,4.0,6000.0,13.0,Dual SIM,6.35,8.1
Nokia,10800,19000,-43,C5-00 3MP Bar Style 3G WCDMA Dual 3.15MP Bluetooth Camera Long Stand-by,3.7,3,32.0,4.0,4000.0,3.0,Dual SIM,5.8,8.1
Itel,21000,23000,-9,"A33 5.0"" Screen, Android 8.1, 16GB ROM + 1GB ROM, 2PCS 2200mAh Battery, Fingerprint, 5+2MP Camera - Black + FREE CASE",4.35,3,16.0,1.0,2200.0,2.0,Dual SIM,5.0,8.1
Samsung,23990,100000,-76,Galaxy S4 I9507V 4G Smartphone 5.0'' 2600mAh FHD 13MP+2MP 2GB+16GB Mobile Phone-White,3.8,67,16.0,2.0,2600.0,13.0,Dual SIM,5.0,8.1
Itel,19900,0,0,"A16 Plus 5.0"" Screen Android 8.1 Go Edition, 1GB RAM + 8GB ROM, 5MP+2MP, 2050mAh Dual SIM 3G - Black With Free Case",5.0,1,8.0,1.0,2050.0,5.0,Dual SIM,5.0,8.1
Motorola,20990,79000,-73,MOTO E3 Power XT1706 Smartphone 5'' HD 2GB/16GB  Quad-cord Dual SIM  3500mAh 4G LTE Mobile Phone,4.45,5,16.0,2.0,3500.0,13.0,Dual SIM,5.8,8.1
Itel,18000,19000,-5,"A16 5-inch (512MB +8GB ROM) Android 8.1, 5MP + 2MP 2050mah Dual SIM 3G Smartphone - CHAMPAGNE GOLD",3.0,1,32.0,8.0,2050.0,5.0,Dual SIM,5.0,8.1
Samsung,46990,86990,-46,Galaxy C5 C5000 4G LTE Smartphone Super AMOLED 5.2 Inch Snapdragon 617 Octa Core 16MP Camera Cell Phone- Gold,5.0,1,32.0,4.0,4000.0,16.0,Dual SIM,5.2,8.1
Itel,29600,30000,-1,"P33 Plus 6.0"" Android 8.1, 5000mAh, 16GB+1GB RAM, Dual Rear Camera Fingerprint & Face Unlock - Champagne Gold",4.25,191,16.0,1.0,5000.0,13.0,Dual SIM,6.0,8.1
LG,29999,199999,-85,Smart Phone， LG G4 4G LTE H815 Mobile Phone Hexa Core 5.5 Inch 16.0MP Camera 3GB+32GB-Gold,4.0,1,32.0,3.0,4000.0,16.0,Dual SIM,5.5,8.1
Samsung,64900,94000,-31,Galaxy S7 Smartphone Straight Screen 5.1'' 32GB ROM Quad Core 4G LTE Fingerprint -Silver,5.0,1,32.0,4.0,4000.0,13.0,Dual SIM,5.1,8.1
Sony,52900,95834,-45,"Z5 Premium E6853 5.5"" Single SIM 3GB+32GB Octa Core 23.0MP 4G Smartphone(Silver)",3.0,1,32.0,3.0,4000.0,23.0,Single SIM,5.5,8.1
Nokia,34130,55490,-38,3.1 5.2 Inch HD 3GB RAM 32GB ROM 13MP + 8MP Android 8.0  4G LTE Smartphone 2990mAh Dual Sim- White,4.65,8,32.0,3.0,2990.0,13.0,Dual Sim,5.2,8.0
Elite,22670,45340,-50,"SENSE ,Android 8.1.0 (Upgraded) 13MP(R)+8MP(F) Dual Sim 2+16GB , 4G Smartphone-Gold",3.35,13,16.0,4.0,4000.0,13.0,Dual Sim,5.8,8.1
Tecno,75000,0,0,"Camon 12 Pro CC9 6GB RAM 64GB ROM Android 9 Triple Camera ,16MP,8MP,2MP Rear,32mp/2.0 Selfie Camera",5.0,5,64.0,6.0,4000.0,16.0,Dual SIM,5.8,9.0
Nokia,8000,19000,-58,C1 C1-01 GSM 2G FM Bluetooth Radio High Quality Oriiginal CellPhone-- Black,3.0,1,32.0,4.0,4000.0,13.0,Dual SIM,5.8,8.1
